foot.Averaged speed,foot.Batch length,foot.Case temperature too high,foot.Case temperature too low,foot.Gauge OK,foot.Gauge too hot,foot.Good reading,foot.Good reading status,foot.Instant speed,foot.Laser Status,foot.Laser temperature too high,foot.Laser temperature too low,foot.Last length before reset,foot.Object detected,foot.SNR,foot.Speed reading valid,foot.Total length,mic.Average error/Envelop Error,mic.Lump count,mic.Measurement Mode,mic.Neck count,mic.Ovality,mic.Ovality error,mic.X diameter,mic.X error,mic.Y diameter,mic.Y error,mic.Z diameter,mic.Z error,timestamp
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:08
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:09
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:10
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:11
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:12
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:13
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:14
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:15
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:16
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:17
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:18
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:19
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:20
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:21
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:22
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:23
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:24
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:25
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:26
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:27
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:28
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:30
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:30
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:31
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:32
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:33
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:34
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:35
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:36
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:37
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:38
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:39
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:40
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:41
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:42
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:43
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:44
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:46
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:46
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:47
